                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.53196,                0.65158,                0.84013,                0.95713,                0.88361,                0.94451,                0.84767,                 0.4558,                0.44786,                0.80901,              0.0001213,              0.0001213,              0.0001213
                     54,                0.53709,                0.65314,                0.83905,                0.95515,                0.88941,                0.94494,                0.84537,                0.45806,                0.44253,                0.80894,             0.00011883,             0.00011883,             0.00011883
                     55,                0.52888,                0.64648,                0.83805,                0.95803,                 0.8966,                0.94638,                0.85095,                0.44533,                0.43172,                0.80764,             0.00011635,             0.00011635,             0.00011635
                     56,                0.53143,                0.64634,                0.83939,                0.94937,                0.89785,                0.93346,                0.83813,                0.45213,                0.44338,                0.80782,             0.00011387,             0.00011387,             0.00011387
                     57,                0.52933,                0.64308,                0.83694,                0.95364,                0.89782,                 0.9276,                0.83098,                0.45003,                0.42829,                0.80806,              0.0001114,              0.0001114,              0.0001114
                     58,                0.52564,                0.63782,                0.84415,                0.95995,                0.90142,                0.94723,                0.85056,                0.44471,                0.42428,                0.80786,             0.00010893,             0.00010893,             0.00010893
                     59,                0.52443,                0.64523,                0.83773,                0.95013,                0.90421,                0.94892,                0.85558,                0.44728,                0.43209,                0.80773,             0.00010645,             0.00010645,             0.00010645
                     60,                0.52891,                0.63604,                 0.8418,                0.95965,                0.89268,                0.94823,                0.85253,                 0.4386,                0.42918,                 0.8065,             0.00010398,             0.00010398,             0.00010398
                     61,                0.51946,                0.62753,                0.84049,                  0.958,                0.89206,                0.94608,                0.85062,                0.45012,                0.42143,                  0.808,              0.0001015,              0.0001015,              0.0001015
                     62,                0.51695,                0.62205,                0.83906,                0.96044,                  0.893,                0.94619,                0.85579,                0.44036,                0.41647,                0.80696,             9.9025e-05,             9.9025e-05,             9.9025e-05
                     63,                0.51717,                0.62782,                0.83791,                0.96169,                0.90027,                0.92605,                0.83153,                0.44143,                0.42404,                0.80692,              9.655e-05,              9.655e-05,              9.655e-05
                     64,                0.51631,                0.61448,                0.83399,                0.96453,                0.88269,                0.94243,                0.84805,                0.43991,                 0.4147,                0.80611,             9.4075e-05,             9.4075e-05,             9.4075e-05
                     65,                0.51759,                0.61878,                0.83815,                0.96102,                 0.8985,                0.93368,                0.83989,                 0.4471,                  0.421,                0.80686,               9.16e-05,               9.16e-05,               9.16e-05
                     66,                0.51713,                0.61152,                0.83447,                0.96104,                0.89855,                 0.9414,                0.84952,                 0.4402,                0.41173,                0.80719,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     67,                0.51857,                0.61403,                0.84128,                0.97005,                0.89051,                0.94541,                0.84768,                0.44215,                0.41802,                0.80659,              8.665e-05,              8.665e-05,              8.665e-05
                     68,                0.51282,                0.60456,                0.83825,                0.96478,                0.89704,                0.94739,                0.85307,                0.44036,                0.41227,                0.80672,             8.4175e-05,             8.4175e-05,             8.4175e-05
                     69,                0.50482,                0.59396,                0.83627,                0.95828,                0.89892,                0.94793,                0.85233,                0.44604,                0.42013,                0.80622,               8.17e-05,               8.17e-05,               8.17e-05
                     70,                0.51613,                0.60711,                0.83669,                0.96442,                0.88896,                0.94566,                0.85144,                0.43858,                0.40727,                0.80632,             7.9225e-05,             7.9225e-05,             7.9225e-05
                     71,                0.51332,                0.60161,                0.83851,                0.96763,                0.89727,                0.94837,                0.85242,                0.44452,                0.41736,                0.80645,              7.675e-05,              7.675e-05,              7.675e-05
                     72,                0.51125,                0.60006,                0.83463,                0.96555,                0.89581,                0.94877,                0.85793,                0.43855,                 0.4042,                0.80618,             7.4275e-05,             7.4275e-05,             7.4275e-05
                     73,                0.51189,                0.60837,                0.83856,                0.96578,                0.89757,                0.94645,                0.85957,                0.43796,                 0.4023,                 0.8055,               7.18e-05,               7.18e-05,               7.18e-05
                     74,                0.51025,                0.59158,                0.83559,                0.96597,                0.89636,                0.94522,                0.85248,                0.43934,                0.40713,                0.80478,             6.9325e-05,             6.9325e-05,             6.9325e-05
                     75,                0.52025,                0.60173,                0.83357,                0.96705,                0.89806,                0.94806,                0.85773,                0.43905,                0.40304,                0.80533,              6.685e-05,              6.685e-05,              6.685e-05
                     76,                0.51568,                 0.6063,                0.83676,                0.96985,                0.89691,                  0.949,                0.85651,                0.43642,                0.40443,                0.80532,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     77,                 0.5011,                0.59348,                0.83551,                  0.973,                0.88809,                 0.9468,                0.85273,                0.43691,                0.40225,                 0.8057,               6.19e-05,               6.19e-05,               6.19e-05
