                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.63003,                 1.0386,                0.85933,                0.71492,                0.81357,                 0.8084,                 0.7016,                0.53105,                0.64968,                0.81665,              5.695e-05,              5.695e-05,              5.695e-05
                     80,                0.60873,                 0.9969,                0.86065,                 0.7114,                  0.813,                0.81679,                0.70706,                0.53356,                0.64444,                0.81899,             5.4475e-05,             5.4475e-05,             5.4475e-05
                     81,                0.60847,                0.98061,                0.85999,                0.71797,                0.81745,                0.81412,                0.70609,                0.52526,                0.64317,                0.81793,                5.2e-05,                5.2e-05,                5.2e-05
                     82,                 0.6178,                0.98267,                 0.8571,                0.72089,                 0.8141,                 0.8118,                0.70554,                0.53703,                0.64157,                0.81767,             4.9525e-05,             4.9525e-05,             4.9525e-05
                     83,                0.61457,                0.97464,                0.86095,                 0.7294,                0.81006,                0.81726,                0.70894,                0.52801,                0.64251,                0.81686,              4.705e-05,              4.705e-05,              4.705e-05
                     84,                0.61545,                 1.0102,                0.86141,                0.79922,                0.79554,                0.81459,                0.70693,                0.52605,                0.64041,                0.81729,             4.4575e-05,             4.4575e-05,             4.4575e-05
                     85,                0.60941,                0.99213,                 0.8549,                0.80459,                0.79962,                 0.8233,                0.71593,                0.52332,                0.64064,                0.81668,               4.21e-05,               4.21e-05,               4.21e-05
                     86,                0.61895,                0.97533,                0.86042,                0.77637,                0.80413,                0.82008,                0.71134,                0.52419,                0.64006,                0.81645,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     87,                0.61987,                0.97817,                0.86496,                0.77419,                 0.8076,                0.82512,                0.71462,                0.52677,                0.63164,                0.81642,              3.715e-05,              3.715e-05,              3.715e-05
                     88,                0.59051,                 0.9616,                0.85137,                0.74856,                0.80917,                 0.8328,                0.72125,                0.53507,                 0.6255,                0.81704,             3.4675e-05,             3.4675e-05,             3.4675e-05
                     89,                0.60293,                0.93868,                0.85831,                0.75249,                0.80772,                 0.8317,                0.72332,                0.52525,                0.62168,                0.81593,               3.22e-05,               3.22e-05,               3.22e-05
                     90,                0.61108,                0.96689,                0.86292,                0.75323,                0.81325,                0.84341,                0.73449,                0.51796,                0.61551,                0.81542,             2.9725e-05,             2.9725e-05,             2.9725e-05
                     91,                0.59128,                  1.031,                0.84292,                0.76506,                0.79053,                0.81606,                0.70614,                0.51734,                0.61384,                0.81394,              2.725e-05,              2.725e-05,              2.725e-05
                     92,                0.57364,                0.90972,                0.84478,                0.76538,                0.77235,                0.80123,                0.68943,                0.52878,                 0.6448,                0.81558,             2.4775e-05,             2.4775e-05,             2.4775e-05
                     93,                0.57867,                0.86262,                0.85019,                0.74381,                0.79258,                0.80018,                0.68869,                0.53831,                0.68634,                0.81696,               2.23e-05,               2.23e-05,               2.23e-05
                     94,                0.55931,                0.84367,                0.84762,                0.70735,                0.80155,                0.79463,                0.68071,                0.54826,                 0.7208,                0.81854,             1.9825e-05,             1.9825e-05,             1.9825e-05
                     95,                0.57541,                0.84873,                0.85004,                 0.6588,                0.82322,                0.79395,                0.67882,                 0.5526,                 0.7001,                 0.8185,              1.735e-05,              1.735e-05,              1.735e-05
                     96,                0.56638,                0.78957,                0.84551,                0.68645,                0.83012,                0.80257,                0.68839,                0.54977,                0.67538,                0.81805,             1.4875e-05,             1.4875e-05,             1.4875e-05
                     97,                0.55326,                0.79007,                0.83481,                0.69048,                0.82465,                 0.8024,                0.68942,                0.54178,                0.66363,                0.81685,               1.24e-05,               1.24e-05,               1.24e-05
                     98,                0.55041,                 0.7809,                0.84072,                0.68827,                0.80816,                  0.804,                0.69182,                0.53429,                0.66087,                0.81616,              9.925e-06,              9.925e-06,              9.925e-06
                     99,                 0.5545,                0.80151,                0.84276,                 0.6977,                  0.802,                0.80751,                0.69548,                0.53118,                0.65743,                0.81585,               7.45e-06,               7.45e-06,               7.45e-06
                    100,                0.56974,                0.78781,                0.83784,                 0.7142,                0.79994,                0.80656,                 0.6943,                0.53326,                0.65679,                0.81588,              4.975e-06,              4.975e-06,              4.975e-06
