                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.74251,                0.41207,                 1.0784,                0.99796,                0.99172,                0.99448,                0.91833,                0.43573,                0.22428,                 0.8238,               0.002971,               0.002971,               0.002971
                     73,                0.73711,                0.40884,                 1.0754,                 0.9971,                0.99379,                0.99444,                0.92125,                0.43402,                 0.2229,                 0.8222,               0.002872,               0.002872,               0.002872
                     74,                 0.7331,                0.40656,                 1.0751,                0.99572,                0.99586,                 0.9945,                0.91961,                0.43286,                0.22404,                0.82242,               0.002773,               0.002773,               0.002773
                     75,                0.73501,                0.40486,                 1.0745,                0.99577,                0.99586,                0.99451,                0.91797,                0.43227,                 0.2238,                0.82372,               0.002674,               0.002674,               0.002674
                     76,                0.73519,                0.40532,                 1.0735,                0.99517,                0.99568,                0.99466,                0.91896,                0.42888,                 0.2224,                0.82219,               0.002575,               0.002575,               0.002575
                     77,                0.72739,                0.40341,                 1.0672,                0.99498,                0.99586,                0.99453,                0.91904,                0.43216,                 0.2196,                0.81846,               0.002476,               0.002476,               0.002476
                     78,                0.72597,                0.40428,                 1.0658,                0.99556,                0.99517,                0.99442,                 0.9195,                 0.4319,                0.21908,                0.81844,               0.002377,               0.002377,               0.002377
                     79,                 0.7249,                0.39999,                 1.0671,                0.99518,                0.99584,                0.99441,                0.91894,                0.43108,                0.21968,                0.81993,               0.002278,               0.002278,               0.002278
                     80,                0.71831,                0.39744,                 1.0674,                0.99621,                0.99517,                0.99441,                 0.9184,                0.43445,                0.22134,                0.82183,               0.002179,               0.002179,               0.002179
                     81,                0.71442,                 0.3972,                 1.0623,                0.99438,                0.99586,                0.99437,                0.91961,                0.43386,                0.22244,                 0.8232,                0.00208,                0.00208,                0.00208
                     82,                0.70884,                0.39301,                 1.0607,                0.99448,                0.99586,                0.99436,                 0.9201,                 0.4326,                 0.2231,                0.82363,               0.001981,               0.001981,               0.001981
                     83,                0.71198,                0.39512,                 1.0617,                0.99517,                0.99507,                0.99439,                 0.9208,                0.43294,                0.22144,                 0.8218,               0.001882,               0.001882,               0.001882
                     84,                0.71279,                0.39555,                 1.0621,                0.99511,                0.99586,                0.99441,                0.92073,                 0.4321,                0.21888,                0.81989,               0.001783,               0.001783,               0.001783
                     85,                0.70671,                 0.3925,                 1.0545,                0.99509,                0.99586,                0.99441,                0.92073,                0.43208,                0.21699,                 0.8176,               0.001684,               0.001684,               0.001684
                     86,                0.70178,                0.38857,                 1.0557,                0.99508,                0.99586,                0.99446,                0.92097,                0.43264,                0.21704,                0.81948,               0.001585,               0.001585,               0.001585
                     87,                0.69916,                 0.3876,                 1.0541,                0.99498,                0.99517,                0.99445,                0.92039,                0.43152,                0.21708,                0.82032,               0.001486,               0.001486,               0.001486
                     88,                0.69765,                0.38699,                  1.052,                 0.9944,                0.99586,                0.99447,                0.92025,                0.43096,                0.21747,                0.82168,               0.001387,               0.001387,               0.001387
                     89,                0.69485,                0.38566,                 1.0506,                0.99436,                0.99586,                0.99449,                0.91975,                0.43257,                0.21867,                0.82278,               0.001288,               0.001288,               0.001288
                     90,                0.69087,                0.38137,                 1.0475,                0.99518,                0.99575,                 0.9945,                0.92074,                0.43065,                0.21684,                 0.8207,               0.001189,               0.001189,               0.001189
                     91,                0.65026,                0.31233,                 1.0101,                0.99586,                0.99436,                0.99447,                0.92119,                0.43009,                0.21695,                0.81854,                0.00109,                0.00109,                0.00109
                     92,                0.62974,                0.30122,                0.99989,                0.99503,                0.99517,                0.99445,                0.92095,                0.42847,                0.21562,                0.81934,               0.000991,               0.000991,               0.000991
                     93,                0.62179,                0.29833,                0.99443,                0.99487,                0.99586,                0.99444,                0.92047,                 0.4263,                0.21476,                0.81854,               0.000892,               0.000892,               0.000892
                     94,                0.61763,                0.29671,                0.99176,                0.99449,                0.99607,                 0.9945,                0.92088,                0.42581,                0.21416,                0.81898,               0.000793,               0.000793,               0.000793
                     95,                0.60964,                0.29437,                0.98683,                0.99449,                0.99514,                 0.9945,                0.92238,                0.42513,                0.21251,                 0.8173,               0.000694,               0.000694,               0.000694
                     96,                0.60758,                0.29148,                0.98487,                0.99448,                0.99486,                0.99451,                 0.9236,                0.42388,                0.21235,                0.81711,               0.000595,               0.000595,               0.000595
                     97,                0.60818,                0.29108,                0.98847,                0.99313,                0.99633,                0.99451,                0.92325,                0.42412,                0.21207,                0.81775,               0.000496,               0.000496,               0.000496
                     98,                0.59658,                0.28727,                0.98213,                0.99313,                0.99635,                0.99451,                0.92403,                0.42438,                0.21184,                0.81897,               0.000397,               0.000397,               0.000397
                     99,                0.59326,                0.28627,                0.98192,                0.99313,                0.99635,                0.99449,                0.92398,                0.42478,                0.21266,                0.81978,               0.000298,               0.000298,               0.000298
                    100,                0.59507,                0.28603,                 0.9806,                0.99381,                0.99571,                0.99448,                0.92363,                0.42447,                0.21222,                0.82002,               0.000199,               0.000199,               0.000199
